施設名,エリア,地名,住所
ごとう小児科,愛媛県,松山市,大手町2-7-11
こどもクリニックえくぼ,岡山県,岡山市,東区瀬戸町旭ヶ丘4-2-36
こども発達医療センター,広島県,福山市,三吉町南2-11-22
こども発達支援センター,広島県,福山市,三吉町南2-11-22
こまざわ小児科医院,岡山県,備前市,伊部400-8
ざいつ内科クリニック,山口県,山口市,小郡下郷1216-2
さいとう小児科,広島県,福山市,宝町5-24
さくま内科･脳神経内科クリニック,鳥取県,米子市,長砂町59-1
さくらの木ファミリークリニック,広島県,広島市,福島町２丁目２４番２７－２
さくらの里だいいちリハビリテーション病院,高知県,高知市,九反田２－１４
サザンクリニック整形外科・内科,広島県,広島市,江波本町5-28
さぬき市民病院,香川県,さぬき市,寒川町石田東甲387-1
さわだ耳鼻咽喉科・眼科,高知県,高知市,福井町1734-5
サン・クリニック,岡山県,岡山市,中井2-15-13
しげい病院,岡山県,倉敷市,幸町２−３０
しげのぶ整形外科リウマチ・リハビリＣＬ,広島県,広島市,段原南 1-3-53
しのはら小児クリニック,広島県,広島市,井口3-13-5
しみずこどもクリニック,広島県,広島市,祇園3-12-12-2
しらお小児科・アレルギー科クリニック,広島県,広島市,東雲本町2丁目6-32
しらかわ小児科医院,香川県,高松市,一宮町97-7
しらね眼科,広島県,安芸郡,鶴江1-25-20
シルバーマリン,高知県,高知市,仁井田1612-21
すがはら小児科アレルギー科クリニック,広島県,広島市,西原8-1-13
すくすくクリニックこにし,香川県,木田郡,三木町氷上206
すこやかこどもクリニック,岡山県,岡山市,南区福成1-179-8
すずえこどもクリニック,徳島県,徳島市,八万町沖須賀21-1
せきもとクリニック,広島県,福山市,西新涯町2-10-12
せきもとクリニック,広島県,福山市,西新涯町２丁目１０－１２
せのお小児科医院,鳥取県,東伯郡,琴浦町大字赤碕1984-10
セントラルシティ病院,岡山県,岡山市,南区筑港栄町19-30
たお内科クリニック,山口県,宇部市,島2-4-11
たかおか小児科,愛媛県,松山市,竹原町1-3-8
タキモト動物病院,岡山県,倉敷市,玉島1367-15
たなか内科クリニック,愛媛県,新居浜市,中萩町1-38
たなべ小児クリニック,広島県,廿日市市,下平良山手11-11
たなべ小児科,広島県,廿日市市,平良山手11-11
たにぐち小児クリニック,広島県,広島市,中山東2-2-9
たはらクリニック,山口県,山口市,後河原47
チクバ外科・胃腸科・肛門科病院,岡山県,倉敷市,林2217
ちゃたに脳神経すいみんクリニック,広島県,広島市,大手町5-7-3
ちゃたに脳神経すいみんクリニック,広島県,広島市,大手町５－７－３
ツカザキ病院,兵庫県,姫路市,網干区和久68-1
つくし会　南国病院,高知県,南国市,大そね甲1479-3
つじ心療内科,広島県,広島市,東原1-1-2
つるぎ町立半田病院,徳島県,美馬郡,つるぎ町半田字中藪234-1
つるぎ町立半田病院　外科,徳島県,美馬郡,つるぎ町半田字中薮234-1
なかとう内科小児科医院,岡山県,岡山市,中区平井3-874-40
なかの皮フ科,広島県,広島市,千田町1-3-3
なかはまハートクリニック,広島県,府中市,高木町658-1
なかふかわ小児科,広島県,広島市,深川５丁目２３−１
ながみつクリニック,山口県,防府市,中央町9-41
なかむらこどもクリニック,愛媛県,松山市,西垣生町818
なかよし小児科,広島県,福山市,引野町4-22-19
にしかわクリニック,香川県,善通寺市,木徳町1073-6
にしの内科クリニック循環器・心療内科,高知県,高知市,百石町2丁目29-16
にしの内科クリニック循環器・心臓内科,高知県,高知市,百石町2丁目29-16
ねごろ神経内科クリニック,山口県,山口市,小郡下郷320-1
ノイエス　松山オフィス,愛媛県,松山市,一番町1-10-8
はまざきクリニック,鳥取県,米子市,安倍48-1
はまさきこどもクリニック,広島県,広島市,庚午中3-5-13
はるた呼吸器クリニック,広島県,広島市,境町1-3-10
ピーアイエー　ナカムラ病院,広島県,広島市,坪井3-818-1
ひかり会　木村眼科内科病院,広島県,呉市,宝町3-15
ひだかペインクリニック,広島県,広島市,八丁堀1-12マスキ八丁堀ビル6F
ひろしま脳神経内科クリニック,広島県,広島市,松原町5-1
ひろしま脳神経内科クリニック,広島県,広島市,松原町5－1
ひろせ整形外科リハビリテーションＣＬ,高知県,土佐市,蓮池1004-1
フジイ内科医院,山口県,宇部市,大字小串下条812
ふじい小児科,岡山県,倉敷市,中島2244-1
ふじかわ心療内科クリニック,広島県,廿日市市,下平良1丁目3－36
ふじつ眼科,山口県,宇部市,小串91-20
ふじむら小児科,山口県,周南市,久米東神女3201-1
ふたば病院,広島県,呉市,広白石4-7-22
ふないり脳クリニック,広島県,広島市,舟入幸町4-2
へいわこどもクリニック,香川県,高松市,栗林町1-4-11
ほう皮フ科クリニック,岡山県,倉敷市,浜ノ茶屋３１２−９
ほう皮フ科クリニック,岡山県,倉敷市,浜の茶屋３１２－９
まえば小児科クリニック,山口県,山口市,小郡下郷797-8
まつだ内科医院,鳥取県,鳥取市,叶284-1
マツダ株式会社　マツダ病院,広島県,安芸郡,青崎南2-15
マツダ病院,広島県,安芸郡,青崎南2-15
まんたに心療内科クリニック,広島県,広島市,五日市駅前1－5－18グラシアビル302
みい眼科,山口県,岩国市,中津町１丁目20-28
みかんの花クリニック糖尿病・内分泌・代謝,愛媛県,松山市,藤原町617-13
みかんの花クリニック糖尿病・内分泌・代謝内科,愛媛県,松山市,藤原町617-13
みぞて眼科,広島県,安芸郡,西浜4-22-4
みつふじ小児科,広島県,福山市,川口町2-22-11
みなもと眼科,広島県,広島市,東本浦町17-12
ミネルヴァクリニック　ソフィア,岡山県,倉敷市,阿知3−3−1大橋ビル
ミネルヴァクリニックソフィア,岡山県,倉敷市,昭和2-2-44
むかいだ小児科,愛媛県,伊予郡松前町,惠久美792-1
むくした耳鼻咽喉科,香川県,綾歌郡,あやがわ町はただ3322
むらかみこどもクリニック,山口県,宇部市,東須恵1977-11
むらき小児科,広島県,広島市,庚午北2-22-4
もみのき病院,高知県,高知市,塚ノ原6番地1
ももたろうクリニック,岡山県,岡山市,南区妹尾3387-1
もりもとこどもクリニック,香川県,丸亀市,土器町東4-713-5
もりや小児科クリニック,広島県,呉市,広古新開7-23-9
もり小児科,広島県,広島市,翠雄2-27-30
やまぐちメンタルクリニック,徳島県,徳島市,寺島本町東3-5-1 プライム5F
やまだリウマチクリニック,愛媛県,松山市,樽味4丁目3-33
ヤマナ会東広島記念病院リウマチ・膠原病Ｃ,広島県,東広島市,西条町吉行 2214
よこがわ駅前クリニック,広島県,広島市,横川町2-7-19
よこやま腎泌尿器科クリニック,岡山県,岡山市,北区今2-7-1
よしだレディースクリニック内科・小児科,広島県,福山市,新涯町3-19-36
よしなが神経内科クリニック,広島県,広島市,紙屋町２丁目２−２５ 大野ビル 3F
よしみつこどもクリニック,広島県,広島市,大町東１丁目８−２５ カサグランデⅠ 3F
よつば循環器クリニック,愛媛県,松山市,南江戸4-3-53
よつば循環器科クリニック,愛媛県,松山市,南江戸4-3-53
りつりん病院,香川県,高松市,栗林町3-5-9
リンクメディカルダイレクト,広島県,広島市,商工センター4-7-18
わたなべクリニック,鳥取県,鳥取市,南隈440
一番町リウマチクリニック,愛媛県,松山市,一番町１丁目10-8共同ビル２F
一陽会　一陽会クリニック,広島県,広島市,海老山町7番10号
一陽会　原田病院,広島県,広島市,海老山町7番10号
三原病院,広島県,三原市,中之町6丁目31-1
三和会　国吉病院,高知県,高知市,上町1－3－4
三好眼科,広島県,福山市,大国町2-39
三宅会　三宅会グッドライフ病院,広島県,福山市,東町1-1-18
三木耳鼻咽喉科医院,広島県,福山市,大黒町2-7
三次神経内科クリニック 花の里,広島県,三次市,十日市東4-3-10
三次神経内科クリニック花の里,広島県,三次市,十日市東4-3-10
三田尻病院,山口県,防府市,お茶屋3-27
三菱三原病院,広島県,三原市,糸崎3丁目3-1
三豊総合病院,香川県,観音寺市,豊浜町姫浜708
上田小児科・外科,愛媛県,宇和島市,広小路1-26
上田小児科医院,愛媛県,松山市,居相4-22-1
下田神経内科クリニック,鳥取県,鳥取市,大工町頭33
下関市立市民病院,山口県,下関市,向洋町1丁目13番1号
中国中央病院,広島県,福山市,御幸町上岩成148-13
中国労災病院,広島県,呉市,広多賀谷1-5-1
中央内科クリニック,広島県,呉市,広駅前１−４−58
中山産婦人科小児科,徳島県,板野郡,藍住町東中富字長江傍示5-6
中島こどもクリニック,島根県,益田市,高津2-32-10
中島内科小児科医院,岡山県,岡山市,円山81-7
中島土谷クリニック,広島県,広島市,中島町６－１
中村小児科,岡山県,岡山市,中区原尾島1-3-15
中谷整形外科,広島県,広島市,愛宕町9-17
中谷病院,兵庫県,姫路市,飾磨区細江2501
久会　図南病院,高知県,高知市,知寄町1-5-15
亀井クリニック,高知県,高知市,札場18-22
亀井内科呼吸器科医院,香川県,高松市,太田下町3007-4
亀井小児科,愛媛県,大洲市,東大洲17
五月会　須崎くろしお病院,高知県,須崎市,緑町4-30
井上胃腸科外科医院,岡山県,倉敷市,連島中央5-7-18
井原市立　井原市民病院,岡山県,井原市,井原町1186
井門ゆかり脳神経内科クリニック,広島県,広島市,牛田本町6-1-27-5F
仁厚会　医療福祉センター　倉吉病院,鳥取県,倉吉市,山根43-1
仁厚会　医療福祉センター倉吉病院,鳥取県,倉吉市,山根43-1
仁栄会　島津病院,高知県,高知市,比島町4-6-22
仁生会　細木ユニティ病院,高知県,高知市,西町１００
仁風会　倉敷仁風ホスピタル,岡山県,倉敷市,中島2340-23
今村皮膚科形成外科,山口県,宇部市,松山町1-8-22
今治病院,愛媛県,今治市,喜田村7-1-6
以和貴会　いわき病院,香川県,高松市,香南町由佐113-1
伊月病院,徳島県,徳島市,徳島町2-54
伸寿会　高須クリニック,広島県,福山市,南蔵王町１丁目７番１４号
住友医院,徳島県,徳島市,通町2-17
佐藤循環器科内科,愛媛県,松山市,朝生田町4丁目10-25
倉敷中央病院,岡山県,倉敷市,美和1丁目1番1号
倉敷仁風ホスピタル,岡山県,倉敷市,中島2340-23
倉敷市立児島市民病院,岡山県,倉敷市,児島駅前2丁目39
倉敷平成病院,岡山県,倉敷市,老松町４丁目３－３８
倉敷廣済病院,岡山県,倉敷市,東塚5-4-16
倉敷成人病クリニック,岡山県,倉敷市,白楽町250-１
倉敷成人病センター,岡山県,倉敷市,白楽町250-１
健生会　いのうえ内科医院,山口県,山陽小野田市,須恵一丁目4番10号
優輝整形リハビリステーション,広島県,福山市,神辺町大字川南105-1
元湧会　吉井病院,高知県,四万十市,中村大橋通6丁目7-5
光臨会　荒木脳神経外科病院,広島県,広島市,広島県広島市西区庚午北2-8-7
児島市民病院,岡山県,倉敷市,児島駅前2丁目39番地
全仁会　倉敷平成病院,岡山県,倉敷市,老松町４丁目３－３８
八木小児科医院,広島県,福山市,今津町5-1-31
八王寺内科クリニック,岡山県,倉敷市,八王子町174-7
八王寺内科クリニック,岡山県,倉敷市,八王寺町174-7
公仁会　槇殿順記念病院,広島県,広島市,横川新町8-21
公立　三次中央病院,広島県,三次市,東酒屋町531
公立下蒲刈病院,広島県,呉市,下蒲刈町下島２１２０−４
公立世羅中央病院,広島県,世羅郡,世羅町大字本郷918-3
公立学校共済組合　中国中央病院,広島県,福山市,御幸町上岩成148-13
創和会　しげい病院,岡山県,倉敷市,幸町２−３０
創和会　しげい病院,岡山県,倉敷市,幸町2-30
創和会　重井医学研究所附属病院,岡山県,岡山市,南区山田2117
労働者健康安全機構　中国労災病院,広島県,呉市,広多賀谷１－５－１
労働者健康安全機構　山口労災病院,山口県,山陽小野田市,大字小野田1315-4
労働者健康安全機構　山陰労災病院,鳥取県,米子市,皆生新田1-8-1
労働者健康安全機構　岡山労災病院,岡山県,岡山市,南区築港緑町1-10- 25
労働者健康安全機構　愛媛労災病院,愛媛県,新居浜市,南小松原町13-27
労働者健康安全機構　香川労災病院,香川県,丸亀市,城東町3-3-1
労働者健康福祉機構　中国労災病院,広島県,呉市,広多賀谷1-5-1
労働者健康福祉機構　山口労災病院,山口県,山陽小野田市,大字小野田1315-4
労働者健康福祉機構　山陰労災病院,鳥取県,米子市,皆生新田1-8-1
労働者健康福祉機構　岡山労災病院,岡山県,岡山市,南区築港緑町1-10- 25
労働者健康福祉機構　愛媛労災病院,愛媛県,新居浜市,南小松原町13-27
労働者健康福祉機構　香川労災病院,香川県,丸亀市,城東町3-3-1
医療法人　翠清会　梶川病院,広島県,広島市,昭和町8-20
医療法人　藤田眼科,徳島県,徳島市,佐古六番町6-27
医療法人三世　三世ペインクリニック,愛媛県,松山市,桑原1丁目4-45号
医療法人川島会　川島病院　泌尿器科,徳島県,徳島市,北佐古一番町1-39
医療法人社団清和会　笠岡第一病院,岡山県,笠岡市,横島19
医療法人財団博仁会キナシ大林病院泌尿器科,香川県,高松市,鬼無町藤井435－1
十全会  心臓病センター  榊原病院,岡山県,岡山市,北区中井町2-5-1
千寿会　道後温泉病院,愛媛県,松山市,道後姫塚乙21-21
南岡山医療センター,岡山県,都窪郡,早島町大字早島4066
南徳島クリニック,徳島県,小松島市,中田町字狭間47番地
博仁会  キナシ大林病院,香川県,高松市,鬼無町藤井435－1
厚生年金高知リハビリテーション病院,高知県,高知市,神田317-12
双藤会　産科・婦人科　藤東クリニック,広島県,安芸郡,茂陰1-1-1
向洋こどもクリニック,広島県,安芸郡,府中町青崎中24-26
向洋駅前心療クリニック,広島県,安芸郡,青崎中24-26
呉共済病院,広島県,呉市,西中央2-3-28
呉共済病院　泌尿器科,広島県,呉市,西中央2丁目3-28
呉医療センター,広島県,呉市,青山町3番1号
呉医療センター・中国がんセンター,広島県,呉市,青山町3番1号
周南市立　新南陽市民病院,山口県,周南市,宮の前2-3-15
周東総合病院,山口県,柳井市,古開作1000番地1
和香会 倉敷スイートホスピタル,岡山県,倉敷市,中庄３５４２−１
四国がんセンター,愛媛県,松山市,南梅本町甲160
四国こどもとおとなの医療センター,香川県,善通寺市,仙遊町2丁目1-1
四国動物医療センター,香川県,木田郡,三木町池戸3308-5
国家公務員共済組合連合会　呉共済病院,広島県,呉市,西中央2丁目3-28
国家公務員共済組合連合会　高松病院,香川県,高松市,天神前４－１８
国立　呉医療センター・中国がんセンター,広島県,呉市,青山町3番1号
国立大学法人山口大学医学部附属病院,山口県,宇部市,南小串1-1-1
国立大学法人島根大学医学部附属病院,島根県,出雲市,塩冶町89-1
国立大学法人高知大学医学部附属病院,高知県,南国市,岡豊町小蓮185－1
国立大学法人鳥取大学医学部附属病院,鳥取県,米子市,西町36－1
国立病院機構　南岡山医療センター,岡山県,都窪郡,早島町大字早島４０６６
国立病院機構　呉医療センター,広島県,呉市,青山町3-1
国立病院機構　四国がんセンター,愛媛県,松山市,南梅本町甲160
国立病院機構　山口宇部医療センター,山口県,宇部市,東岐波685番地
国立病院機構　岡山医療センター,岡山県,岡山市,北区田益1711-1
国立病院機構　岩国医療センター,山口県,岩国市,愛宕町1丁目1番1号
国立病院機構　広島西医療センター,広島県,大竹市,玖波4-1-1
国立病院機構　徳島病院,徳島県,吉野川市,鴨島町敷地1354
国立病院機構　愛媛医療センター,愛媛県,東温市,横河原366
国立病院機構　愛媛病院,愛媛県,東温市,横河原366番地
国立病院機構　東広島医療センター,広島県,東広島市,西条町寺家513番地
国立病院機構　浜田医療センター,島根県,浜田市,浅井町777-12
国立病院機構　福山医療センター,広島県,福山市,沖野上町4-14-17
国立病院機構　米子医療センター,鳥取県,米子市,車尾4-17-1
国立病院機構　賀茂精神医療センター,広島県,東広島市,黒瀬町南方92
国立病院機構　関門医療センター,山口県,下関市,長府外浦町1-1
国立病院機構　高松東病院,香川県,高松市,新田町乙８
国立病院機構　高知病院,高知県,高知市,朝倉西町1-2-25
国立病院機構　鳥取医療センター,鳥取県,鳥取市,三津876
土井内科　神経内科クリニック,広島県,広島市,紙屋町1-1-17
土井内科神経内科クリニック,広島県,広島市,紙屋町1-1-17
地域医療機能推進機構  玉造病院,島根県,松江市,玉湯町湯町1-2
地域医療機能推進機構　下関医療センター,山口県,下関市,上新地町3-3-8
地域医療機能推進機構　徳山中央病院,山口県,周南市,孝田町1番1号
地域医療機能推進機構　高知西病院,高知県,高知市,神田317-12
坂出市立病院,香川県,坂出市,寿町3-1-2
大原記念倉敷中央医療機構　倉敷中央病院,岡山県,倉敷市,美和1丁目1番1号
大塚製薬　（平野夷野）,徳島県,徳島市,川内町平石夷野224-18
大塚製薬　徳島,徳島県,徳島市,川内町加賀須野463－10
大塚製薬　徳島工場,徳島県,徳島市,川内町平石夷野224-18
大塚製薬（加賀須野）,徳島県,徳島市,加賀須野463-10
大慈会　三原病院,広島県,三原市,中之町6丁目31-1
大明会  宮里クリニック,山口県,周南市,大内町9番16号 みやさとビル1階
大明会　宮里クリニック,山口県,周南市,大内町9番16号 みやさとビル1階
大月病院,高知県,幡多郡,鉾士603
大本内科医院,広島県,広島市,上安2-4-36
大本眼科医院,岡山県,岡山市,中区浜2-8-19
大槻製薬　製剤研究所　CTM北島製造管理課,徳島県,板野郡,北島町高房字居内1-1
大樹会　総合病院　回生病院,香川県,坂出市,室町3丁目5-28
大櫛耳鼻咽喉科はな・みみサージクリニック,徳島県,徳島市,寺島本町東2-19
大田記念病院,広島県,福山市,沖野上町3-6-28
大野はぐくみクリニック,岡山県,岡山市,奉還町1丁目2-11
大鵬薬品　徳島研究センター,徳島県,徳島市,川内町平石夷野２２４−２
大鵬薬品　製剤研究所　CTM北島製造管理課,徳島県,板野郡,北島町高房字居内1-1
大鵬薬品工業株式会社,徳島県,板野郡,北島町高房字居内1-1
大鵬薬品工業株式会社　品質評価研究所,徳島県,徳島市,川内町平石夷野２２４−２
天神川なかむら内科,広島県,安芸郡,大須1-17-22
天馬会　チクバ外科胃腸科肛門科病院,岡山県,倉敷市,林2217
奥谷内科医院,香川県,観音寺市,瀬戸町4-1-70
如水会　オリーブ高松メディカルクリニック,香川県,高松市,観光町649-8
姫路循環器病センター,兵庫県,姫路市,西庄甲520
宇品メンタルクリニック,広島県,広島市,宇品西3-1-45-4
宇多津浜クリニック,香川県,綾歌郡,宇多津町浜５番丁６６－１
宇部興産中央病院,山口県,宇部市,大字西岐波750
宇部興産株式会社　中央病院,山口県,宇部市,大字西岐波750
宇野耳鼻咽喉科クリニック,岡山県,岡山市,富原3702-4
守屋おさむクリニック,岡山県,倉敷市,玉島乙島932-43
安佐市民病院,広島県,広島市,亀山南1-2-1
安東内科クリニック,広島県,廿日市市,対厳山2-15-9
宝樹会小豆島病院,香川県,小豆郡,小豆島町池田2519-4
宮崎内科,香川県,観音寺市,観音寺町3393
宮里クリニック,山口県,周南市,大内町9番16号 みやさとビル1階
小池やすはら小児クリニック,広島県,福山市,光南町1-5-23
小泉小児科,愛媛県,伊予郡,砥部町拾町281-2
小渦会　医療保護施設　鳴門シーガル病院,徳島県,鳴門市,瀬戸町堂浦字阿波井57
小田ひ尿器科,愛媛県,松山市,枝松6-12-10
小田病院,岡山県,井原市,井原町582
小豆島病院,香川県,小豆郡,小豆島町池田2519-4
小郡第一総合病院,山口県,山口市,小郡下郷862番地3
尚腎会　高知高須病院,高知県,高知市,大津乙2705-1
尾道市立市民病院,広島県,尾道市,新高山3丁目1170-177
尾道総合病院,広島県,尾道市,平原1-10-23
屋島総合病院,香川県,高松市,屋島西町１８５７−１
山口労災病院,山口県,山陽小野田市,大字小野田1315-4
山口大学医学部附属病院,山口県,宇部市,南小串1-1-1
山口大学医学部附属病院　消化器・腫瘍外科,山口県,宇部市,南小串1-1-1
山口大学病院　小児科,山口県,宇部市,南小串1-1-1
山口大学病院　泌尿器科,山口県,宇部市,南小串1-1-1
山口宇部医療センター,山口県,宇部市,東岐波685番地
山口県立こころの医療センター,山口県,宇部市,東岐波4004-2
山口県立総合医療センター,山口県,防府市,大崎77
山口赤十字病院,山口県,山口市,八幡馬場５３−１
山根病院,島根県,浜田市,熱田町１５１７−１
山田小児科,愛媛県,松山市,余戸中2-15-30
山陰労災病院,鳥取県,米子市,皆生新田1-8-1
岡山労災病院,岡山県,岡山市,南区築港緑町1丁目10番25号
岡山労災病院　 循環器内科,岡山県,岡山市,南区築港緑町1-10- 25
岡山医療センター,岡山県,岡山市,北区田益1711-1
岡山大学　医学部,岡山県,岡山市,北区鹿田町2-5-1
岡山大学病院,岡山県,岡山市,北区鹿田町2-5-1
岡山市立市民病院,岡山県,岡山市,北区天瀬6番10号
岡山市立市民病院,岡山県,岡山市,北区長瀬表町3-20-1
岡山市立総合医療センター岡山市立市民病院,岡山県,岡山市,北長瀬表町三丁目２０番１号
岡山旭東病院,岡山県,岡山市,中区倉田567-1
岡山済生会外来センター病院,岡山県,岡山市,北区伊福町1-17-18
岡山済生会総合病院,岡山県,岡山市,北区伊福町1-17-18
岡山済生会総合病院,岡山県,岡山市,国体町2-25
岡山済生会総合病院附属外来センター,岡山県,岡山市,北区伊福町1-17-18
岡山県健康づくり財団附属病院,岡山県,岡山市,平田408-1
岡山県精神科医療センター,岡山県,岡山市,鹿田本町3-16
岡山第一病院,岡山県,岡山市,中区高屋343
岡山精神科医療センター,岡山県,岡山市,北区鹿田本町3-16
岡山赤十字病院,岡山県,岡山市,北区青江二丁目1番1号
岡本眼科クリニック,愛媛県,松山市,大手町2-7-17
岡村会  岡村病院,高知県,高知市,入明町１−５
岡耳鼻咽喉科医院,岡山県,岡山市,浦安西町21-31
岩国医療センター,山口県,岩国市,愛宕町1丁目1番1号
岩城クリニック,徳島県,阿南市,学原町上水田11-1
岩本内科医院,香川県,善通寺市,弘田町496-1
島大,広島県,広島市,舟入幸町4-2
島根大学医学部付属病院,島根県,出雲市,塩冶町89-1
島根大学医学部附属病院,島根県,出雲市,塩冶町89-1
島根県立中央病院,島根県,出雲市,姫原４－１－１
島根県立中央病院,島根県,出雲市,姫原4-1-1
島津会  幡多病院,高知県,四万十市,右山天神町１０−１２
川上こどもクリニック,愛媛県,四国中央市,金生町山田井895-2
川口メディカルクリニック,岡山県,岡山市,北区大供2-2-16
川口医院,山口県,大島郡,周防大島町外入2228-20
川島会　川島病院,徳島県,徳島市,北佐古一番町1-39
川島会　川島透析クリニック,徳島県,徳島市,北佐古一番町6-1
川島病院,徳島県,徳島市,北佐古一番町1-39
川崎医科大学付属病院,岡山県,倉敷市,松島577
川崎医科大学総合医療センター,岡山県,岡山市,中山下2-6-1
川崎医科大学総合医療センター,岡山県,岡山市,北区中山下2-6-1
川崎医科大学附属川崎病院,岡山県,岡山市,中山下2-1-80
川崎医科大学附属川崎病院,岡山県,岡山市,北区中山下2-1-80
川崎医科大学附属病院,岡山県,倉敷市,松島577
川崎病院,岡山県,岡山市,北区中山下2-1-80
市立八幡浜総合病院,愛媛県,八幡浜市,大平1番耕地638番地
市立宇和島病院,愛媛県,宇和島市,御殿町1-1
平和大通り心療クリニック,広島県,広島市,中町8-6
平岡内科クリニック,広島県,広島市,横川町2丁目7-19
平野同仁会  総合病院　津山第一病院,岡山県,津山市,中島438番地
平野同仁会　総合病院　津山第一病院,岡山県,津山市,中島438番地
幸友会　岡本眼科クリニック,愛媛県,松山市,大手町2-7-17
幸季の会 やまだリウマチクリニック,愛媛県,松山市,樽味4丁目3-33
幸正会　岩本内科医院,香川県,善通寺市,弘田町８９９−１
広島HARTクリニック,広島県,広島市,大手町5-7-10
広島アレルギー呼吸器クリニック,広島県,広島市,光町1-9-28
広島アレルギー呼吸器クリニック八丁堀,広島県,広島市,八丁堀14-7
広島ステーションクリニック,広島県,広島市,若草町11-2　グランアークテラス3F
広島リウマチ・内科クリニック,広島県,広島市,鉄砲町10-13八丁堀藤久芳堂ビル3階
広島厚生連　吉田総合病院,広島県,安芸高田市,吉田町吉田3666
広島厚生連　廣島総合病院,広島県,廿日市市,地御前1-3-3
広島大学原爆放射線医科学研究所,広島県,広島市,霞1-2-3
広島大学大学院医歯薬学総合研究科,広島県,広島市,霞1-2-3
広島大学病院,広島県,広島市,霞1-2-3
広島市民病院,広島県,広島市,基町7-33
広島市立　安佐市民病院,広島県,広島市,可部南2-1-1
広島市立　広島市民病院,広島県,広島市,基町7-33
